state,jurisdiction,clinton,trump,johnson,stein,other,totalvotes,,
WI,OZAUKEE,20168,30430,2110,387,731,53826,,
WI,PEPIN,1345,2206,115,33,40,3739,,
WI,PIERCE,8382,11258,1044,281,189,21154,,
WI,POLK,7570,13815,886,232,168,22671,,
WI,PORTAGE,18521,17306,1490,583,304,38204,,
WI,PRICE,2669,4562,200,84,62,7577,,
WI,RACINE,42512,46611,3248,834,928,94133,,
WI,RICHLAND,3577,4023,242,107,70,8019,,
WI,ROCK,39343,31488,2859,885,586,75161,,
WI,RUSK,2171,4564,197,63,71,7066,,
WI,SAUK,14692,14791,1106,424,305,31318,,
WI,SAWYER,3504,5185,210,99,41,9039,,
WI,SHAWANO,6056,12742,608,172,173,19751,,
WI,SHEBOYGAN,22956,32458,2376,544,775,59109,,
WI,ST. CROIX,17486,26220,2338,513,518,47075,,
WI,TAYLOR,2398,6589,293,69,90,9439,,
WI,TREMPEALEAU,5636,7364,384,117,109,13610,,
WI,VERNON,6352,6996,447,290,128,14213,,
WI,VILAS,4770,8169,340,116,74,13469,,
WI,WALWORTH,18706,28851,2118,612,562,50849,,
WI,WASHBURN,3284,5404,271,64,68,9091,,
WI,WASHINGTON,20855,51729,2745,548,821,76698,,
WI,WAUKESHA,79200,142521,8891,1674,2437,234723,,
WI,WAUPACA,8440,16189,800,240,198,25867,,
WI,WAUSHARA,3792,7669,326,96,116,11999,,
WI,WINNEBAGO,37054,43448,3820,1063,825,86210,,
WI,WOOD,14232,21503,1365,392,308,37800,,
WV,Barbour,1222,4527,214,64,27,6054,,
WV,Berkeley,12321,28244,1623,473,189,42850,,
WV,Boone,1790,6504,246,70,73,8683,,
WV,Braxton,1321,3537,157,47,28,5090,,
WV,Brooke,2568,6625,297,99,24,9613,,
WV,Cabell,11447,19850,1209,397,182,33085,,
WV,Calhoun,456,2035,63,45,18,2617,,
WV,Clay,568,2300,60,25,19,2972,,
WV,Doddridge,362,2358,65,37,18,2840,,
WV,Fayette,4290,10357,443,180,67,15337,,
WV,Gilmer,545,1896,68,24,10,2543,,
WV,Grant,512,4346,65,21,12,4956,,
WV,Greenbrier,3765,9556,475,200,70,14066,,
WV,Hampshire,1580,6692,196,103,37,8608,,
WV,Hancock,3262,8909,370,125,36,12702,,
WV,Hardy,1155,4274,140,42,32,5643,,
WV,Harrison,7694,18750,1041,327,148,27960,,
WV,Jackson,2663,9020,305,106,93,12187,,
WV,Jefferson,9518,13204,1005,333,87,24147,,
WV,Kanawha,28263,43850,2494,814,269,75690,,
WV,Lewis,1347,5274,209,69,29,6928,,
WV,Lincoln,1459,5307,191,62,47,7066,,
WV,Logan,2092,9897,237,85,48,12359,,
WV,Marion,6964,14668,899,367,131,23029,,
WV,Marshall,2918,9666,418,153,61,13216,,
WV,Mason,2081,7654,276,86,89,10186,,
WV,McDowell,1438,4629,90,27,19,6203,,
WV,Mercer,4704,17404,552,209,113,22982,,
WV,Mineral,2050,9070,282,123,39,11564,,
WV,Mingo,1370,7911,145,32,52,9510,,
WV,Monongalia,14699,18432,1827,815,275,36048,,
WV,Monroe,1111,4443,149,57,45,5805,,
WV,Morgan,1573,5732,208,103,38,7654,,
WV,Nicholas,1840,7251,283,83,34,9491,,
WV,Ohio,5493,11139,748,384,174,17938,,
WV,Pendleton,729,2398,73,18,7,3225,,
WV,Pleasants,621,2358,123,20,28,3150,,
WV,Pocahontas,928,2496,150,57,15,3646,,
WV,Preston,2470,9538,429,131,91,12659,,
WV,Putnam,5884,17788,823,265,133,24893,,
WV,Raleigh,6443,22048,687,252,188,29618,,
WV,Randolph,2735,7629,339,95,78,10876,,
WV,Ritchie,496,3405,105,40,29,4075,,
